driver_age_band,driver_experience,time_of_day,vehicle_service_year,vehicle_type,weather,road_surface,light_condition,driver_vehicle_relation,vehicle_owner,vehicle_defect,Accident_severity
31-50,2-5yr,Afternoon,5-10yrs,Unknown,Normal,Asphalt roads,Daylight,Employee,Organization,No defect,Slight Injury
18-30,Above 10yr,Afternoon,Above 10yr,Automobile,Normal,Unknown,Daylight,Owner,Owner,No defect,Slight Injury
18-30,2-5yr,Afternoon,2-5yrs,Lorry,Normal,Gravel roads,Daylight,Employee,Owner,No defect,Slight Injury
31-50,5-10yr,Afternoon,1-2yr,Public_transport,Normal,Asphalt roads,Daylight,Other,Owner,Unknown,Slight Injury
18-30,5-10yr,Evening,2-5yrs,Lorry,Normal,Unknown,Darkness - lights lit,Employee,Owner,Unknown,Slight Injury
31-50,5-10yr,Evening,Unknown,Automobile,Normal,Asphalt roads,Darkness - lights lit,Unknown,Owner,No defect,Slight Injury
31-50,Above 10yr,Morning,Unknown,Automobile,Normal,Asphalt roads,Daylight,Employee,Owner,No defect,Slight Injury
31-50,5-10yr,Morning,2-5yrs,Public_transport,Normal,Asphalt roads,Daylight,Employee,Owner,Unknown,Slight Injury
Over 51,1-2yr,Afternoon,5-10yrs,Lorry,Normal,Asphalt roads,Daylight,Employee,Owner,Unknown,Serious Injury
Over 51,Unknown,Afternoon,Unknown,Unknown,Normal,Asphalt roads,Daylight,Unknown,Unknown,Unknown,Slight Injury
31-50,Above 10yr,Evening,5-10yrs,Unknown,Normal,Earth roads,Darkness - lights lit,Employee,Owner,No defect,Slight Injury
Under 18,2-5yr,Evening,Unknown,Automobile,Normal,Asphalt roads,Darkness - lights lit,Owner,Owner,No defect,Slight Injury
31-50,1-2yr,Evening,Unknown,Lorry,Normal,Asphalt roads,Darkness - lights lit,Employee,Owner,No defect,Serious Injury
31-50,1-2yr,Evening,1-2yr,Lorry,Normal,Asphalt roads,Darkness - lights lit,Employee,Owner,No defect,Serious Injury
Over 51,2-5yr,Afternoon,Unknown,Pickup,Normal,Asphalt roads,Daylight,Owner,Owner,No defect,Slight Injury
Over 51,Unknown,Afternoon,Unknown,Lorry,Normal,Asphalt roads,Daylight,Unknown,Owner,Unknown,Slight Injury
Over 51,2-5yr,Evening,Unknown,Automobile,Normal,Asphalt roads,Darkness - lights lit,Owner,Owner,No defect,Slight Injury
Over 51,1-2yr,Evening,Unknown,Other,Normal,Asphalt roads,Darkness - lights lit,Employee,Owner,Unknown,Slight Injury
