feature,mean_abs_shap
ordinal__time_of_day,0.03255279777003457
ordinal__driver_experience,0.02866447937479279
ordinal__driver_age_band,0.02546787041443888
onehot__weather_Normal,0.022286567045512313
onehot__vehicle_type_Automobile,0.020659893411081435
onehot__vehicle_defect_No defect,0.017896706291786846
onehot__light_condition_Darkness - lights lit,0.015811109675348017
ordinal__vehicle_service_year,0.015465185144063599
onehot__vehicle_type_Lorry,0.013479128678429835
onehot__light_condition_Daylight,0.013396362918516225
onehot__vehicle_type_Public_transport,0.012614093714346252
onehot__vehicle_defect_Unknown,0.01154150329431712
onehot__vehicle_owner_Owner,0.0107077326478148
onehot__driver_vehicle_relation_Employee,0.009978193627307156
onehot__driver_vehicle_relation_Owner,0.009157677943895288
onehot__road_surface_Asphalt roads,0.007568071574696308
onehot__vehicle_type_Unknown,0.007091639368866591
onehot__weather_Raining,0.006589598880347066
onehot__vehicle_type_Other,0.006341133088749527
onehot__vehicle_type_Pickup,0.0060516048770127735
onehot__vehicle_owner_Governmental,0.005568977425020686
onehot__vehicle_type_Motorcycle,0.0028752225453601565
onehot__light_condition_Darkness - no lighting,0.002555700464729532
onehot__road_surface_Earth roads,0.002348762080922718
onehot__weather_Unknown,0.001628375055634655
onehot__vehicle_owner_Organization,0.0014968710209135787
onehot__vehicle_owner_Unknown,0.0014784644286258647
onehot__driver_vehicle_relation_Unknown,0.0013985540873853305
onehot__road_surface_Gravel roads,0.0013228075276848369
onehot__vehicle_type_Taxi,0.0012527232199797084
onehot__road_surface_Asphalt roads with some distress,0.0009615158713500868
onehot__weather_Other,0.0006722312707404136
onehot__road_surface_Other,0.0006706085645303627
onehot__driver_vehicle_relation_Other,0.0006224537830349985
onehot__weather_Windy,0.0005201423555428147
onehot__road_surface_Unknown,0.0003763528206919758
onehot__vehicle_defect_7,0.0002520744856590545
onehot__weather_Cloudy,0.00021304160697584905
onehot__vehicle_defect_5,0.00016818697369617858
onehot__light_condition_Darkness - lights unlit,0.00014744290052138675
onehot__weather_Snow,0.00012197825053725806
onehot__vehicle_type_Bicycle,8.861114401874898e-05
onehot__vehicle_type_Bajaj,8.254679394028714e-05
onehot__weather_Raining and Windy,2.1128355962203664e-05
onehot__vehicle_owner_Other,1.960576302945461e-05
onehot__weather_Fog or mist,7.667683919333922e-06
