driver_age_band,driver_experience,time_of_day,vehicle_type,weather,road_surface,light_condition,Accident_severity
31-50,Above 10yr,Morning,Automobile,Normal,Asphalt roads,Daylight,Serious Injury
18-30,Above 10yr,Morning,Unknown,Normal,Asphalt roads,Daylight,Serious Injury
18-30,5-10yr,Afternoon,Public_transport,Normal,Asphalt roads,Darkness - lights lit,Slight Injury
Unknown,2-5yr,Afternoon,Automobile,Normal,Asphalt roads,Darkness - lights lit,Slight Injury
Unknown,Below 1yr,Night,Other,Normal,Asphalt roads,Darkness - lights lit,Slight Injury
31-50,Below 1yr,Afternoon,Automobile,Normal,Asphalt roads,Daylight,Slight Injury
31-50,2-5yr,Morning,Other,Normal,Asphalt roads,Darkness - lights lit,Slight Injury
Unknown,Below 1yr,Morning,Lorry,Normal,Unknown,Darkness - lights lit,Slight Injury
18-30,Unknown,Afternoon,Public_transport,Normal,Asphalt roads,Daylight,Slight Injury
18-30,Below 1yr,Morning,Pickup,Normal,Asphalt roads,Daylight,Serious Injury
18-30,Below 1yr,Morning,Automobile,Normal,Asphalt roads,Daylight,Serious Injury
18-30,1-2yr,Afternoon,Lorry,Normal,Asphalt roads with some distress,Daylight,Slight Injury
18-30,Above 10yr,Afternoon,Lorry,Normal,Asphalt roads,Daylight,Slight Injury
18-30,Below 1yr,Afternoon,Lorry,Normal,Asphalt roads,Daylight,Slight Injury
18-30,2-5yr,Afternoon,Lorry,Normal,Asphalt roads,Daylight,Slight Injury
31-50,2-5yr,Morning,Public_transport,Normal,Asphalt roads,Daylight,Slight Injury
18-30,Above 10yr,Morning,Automobile,Normal,Earth roads,Daylight,Slight Injury
Unknown,2-5yr,Afternoon,Other,Normal,Asphalt roads,Darkness - lights lit,Slight Injury
Unknown,2-5yr,Morning,Other,Normal,Asphalt roads,Daylight,Slight Injury
Unknown,1-2yr,Afternoon,Other,Normal,Asphalt roads,Daylight,Slight Injury
Over 51,5-10yr,Evening,Automobile,Normal,Asphalt roads,Darkness - lights lit,Slight Injury
31-50,Below 1yr,Evening,Other,Normal,Asphalt roads,Darkness - lights lit,Slight Injury
31-50,Below 1yr,Evening,Lorry,Normal,Asphalt roads,Darkness - lights lit,Slight Injury
18-30,Unknown,Evening,Public_transport,Normal,Asphalt roads,Darkness - lights lit,Slight Injury
18-30,Below 1yr,Evening,Lorry,Raining,Asphalt roads,Darkness - lights lit,Slight Injury
Unknown,1-2yr,Afternoon,Public_transport,Normal,Asphalt roads,Daylight,Serious Injury
31-50,2-5yr,Morning,Lorry,Unknown,Asphalt roads,Daylight,Slight Injury
18-30,5-10yr,Morning,Lorry,Normal,Gravel roads,Daylight,Slight Injury
18-30,Above 10yr,Morning,Public_transport,Normal,Asphalt roads,Daylight,Slight Injury
18-30,5-10yr,Morning,Lorry,Normal,Asphalt roads,Daylight,Slight Injury
18-30,Below 1yr,Evening,Other,Normal,Asphalt roads,Darkness - lights lit,Slight Injury
31-50,5-10yr,Morning,Automobile,Normal,Asphalt roads,Daylight,Slight Injury
Unknown,2-5yr,Morning,Lorry,Normal,Asphalt roads,Daylight,Slight Injury
31-50,Above 10yr,Morning,Pickup,Normal,Asphalt roads,Daylight,Slight Injury
31-50,5-10yr,Night,Automobile,Raining,Asphalt roads,Daylight,Slight Injury
Over 51,1-2yr,Afternoon,Unknown,Normal,Asphalt roads,Daylight,Slight Injury
31-50,2-5yr,Morning,Automobile,Normal,Asphalt roads,Daylight,Slight Injury
Unknown,Below 1yr,Morning,Automobile,Normal,Asphalt roads,Daylight,Slight Injury
18-30,Below 1yr,Afternoon,Other,Normal,Asphalt roads,Daylight,Slight Injury
Unknown,5-10yr,Afternoon,Unknown,Normal,Asphalt roads,Daylight,Slight Injury
31-50,5-10yr,Morning,Other,Normal,Asphalt roads,Daylight,Slight Injury
18-30,1-2yr,Morning,Unknown,Normal,Asphalt roads,Daylight,Slight Injury
18-30,Unknown,Morning,Other,Normal,Asphalt roads,Daylight,Slight Injury
18-30,Above 10yr,Afternoon,Lorry,Normal,Asphalt roads,Daylight,Slight Injury
31-50,1-2yr,Afternoon,Lorry,Normal,Asphalt roads,Daylight,Slight Injury
Over 51,2-5yr,Morning,Lorry,Normal,Unknown,Daylight,Slight Injury
18-30,5-10yr,Morning,Automobile,Normal,Asphalt roads,Daylight,Slight Injury
31-50,5-10yr,Morning,Pickup,Normal,Asphalt roads,Daylight,Slight Injury
Unknown,Above 10yr,Morning,Taxi,Normal,Asphalt roads,Daylight,Slight Injury
31-50,1-2yr,Evening,Automobile,Normal,Asphalt roads,Darkness - lights lit,Slight Injury
Over 51,Unknown,Morning,Unknown,Normal,Asphalt roads,Daylight,Slight Injury
31-50,1-2yr,Morning,Public_transport,Raining,Asphalt roads,Daylight,Slight Injury
31-50,1-2yr,Morning,Pickup,Normal,Asphalt roads,Daylight,Slight Injury
Unknown,5-10yr,Morning,Unknown,Normal,Asphalt roads,Daylight,Slight Injury
Unknown,5-10yr,Morning,Lorry,Normal,Other,Daylight,Slight Injury
18-30,Above 10yr,Afternoon,Pickup,Normal,Asphalt roads,Daylight,Slight Injury
18-30,5-10yr,Morning,Lorry,Normal,Asphalt roads,Daylight,Serious Injury
31-50,Below 1yr,Morning,Lorry,Normal,Asphalt roads,Daylight,Serious Injury
Unknown,Above 10yr,Afternoon,Lorry,Normal,Asphalt roads,Daylight,Slight Injury
31-50,5-10yr,Morning,Public_transport,Normal,Asphalt roads,Daylight,Slight Injury
Over 51,5-10yr,Afternoon,Automobile,Normal,Asphalt roads,Daylight,Slight Injury
Under 18,1-2yr,Afternoon,Automobile,Normal,Asphalt roads,Daylight,Slight Injury
Over 51,1-2yr,Evening,Automobile,Normal,Other,Daylight,Serious Injury
18-30,1-2yr,Evening,Other,Normal,Asphalt roads,Daylight,Serious Injury
31-50,2-5yr,Morning,Automobile,Normal,Asphalt roads,Daylight,Slight Injury
31-50,Above 10yr,Morning,Automobile,Normal,Asphalt roads,Daylight,Slight Injury
18-30,2-5yr,Evening,Automobile,Normal,Asphalt roads,Daylight,Slight Injury
18-30,No Licence,Evening,Automobile,Normal,Earth roads,Daylight,Slight Injury
Over 51,1-2yr,Evening,Unknown,Normal,Asphalt roads,Darkness - lights lit,Slight Injury
31-50,5-10yr,Evening,Unknown,Normal,Asphalt roads,Darkness - lights lit,Slight Injury
Unknown,Above 10yr,Evening,Other,Normal,Asphalt roads,Daylight,Slight Injury
31-50,1-2yr,Afternoon,Pickup,Unknown,Asphalt roads,Daylight,Slight Injury
31-50,1-2yr,Afternoon,Other,Unknown,Asphalt roads,Daylight,Slight Injury
31-50,2-5yr,Afternoon,Automobile,Normal,Asphalt roads,Daylight,Slight Injury
31-50,1-2yr,Evening,Pickup,Normal,Asphalt roads,Darkness - lights lit,Slight Injury
31-50,1-2yr,Morning,Lorry,Normal,Asphalt roads,Daylight,Slight Injury
31-50,Above 10yr,Morning,Lorry,Normal,Asphalt roads,Daylight,Slight Injury
31-50,Above 10yr,Morning,Pickup,Normal,Asphalt roads,Daylight,Slight Injury
31-50,1-2yr,Morning,Pickup,Normal,Asphalt roads,Daylight,Slight Injury
31-50,5-10yr,Afternoon,Lorry,Normal,Asphalt roads,Daylight,Slight Injury
31-50,2-5yr,Morning,Public_transport,Normal,Asphalt roads,Daylight,Slight Injury
18-30,2-5yr,Morning,Other,Normal,Asphalt roads,Daylight,Slight Injury
Over 51,5-10yr,Morning,Automobile,Normal,Earth roads,Daylight,Slight Injury
18-30,5-10yr,Evening,Automobile,Normal,Asphalt roads,Daylight,Slight Injury
Over 51,2-5yr,Evening,Automobile,Normal,Asphalt roads,Daylight,Slight Injury
Unknown,5-10yr,Afternoon,Automobile,Normal,Asphalt roads,Daylight,Slight Injury
Unknown,Above 10yr,Afternoon,Lorry,Normal,Asphalt roads,Daylight,Slight Injury
31-50,2-5yr,Afternoon,Public_transport,Normal,Asphalt roads,Daylight,Slight Injury
31-50,2-5yr,Afternoon,Automobile,Normal,Asphalt roads,Daylight,Slight Injury
31-50,2-5yr,Morning,Automobile,Normal,Asphalt roads,Daylight,Slight Injury
18-30,1-2yr,Morning,Automobile,Normal,Asphalt roads,Daylight,Slight Injury
31-50,5-10yr,Evening,Unknown,Normal,Asphalt roads,Daylight,Slight Injury
31-50,2-5yr,Evening,Lorry,Normal,Earth roads,Daylight,Slight Injury
Over 51,1-2yr,Afternoon,Lorry,Normal,Asphalt roads,Daylight,Slight Injury
18-30,1-2yr,Afternoon,Automobile,Normal,Asphalt roads,Daylight,Slight Injury
31-50,No Licence,Evening,Automobile,Normal,Asphalt roads,Daylight,Slight Injury
Unknown,5-10yr,Evening,Public_transport,Normal,Asphalt roads,Daylight,Slight Injury
31-50,1-2yr,Evening,Public_transport,Normal,Asphalt roads,Daylight,Slight Injury
18-30,Unknown,Evening,Public_transport,Normal,Asphalt roads,Daylight,Slight Injury
18-30,Unknown,Afternoon,Lorry,Normal,Gravel roads,Daylight,Slight Injury
18-30,2-5yr,Afternoon,Automobile,Normal,Asphalt roads,Daylight,Slight Injury
31-50,Above 10yr,Afternoon,Lorry,Normal,Asphalt roads,Daylight,Slight Injury
31-50,Above 10yr,Afternoon,Unknown,Normal,Asphalt roads,Daylight,Slight Injury
31-50,Unknown,Afternoon,Automobile,Normal,Asphalt roads,Daylight,Slight Injury
31-50,Unknown,Afternoon,Unknown,Normal,Asphalt roads,Daylight,Slight Injury
18-30,5-10yr,Afternoon,Unknown,Normal,Asphalt roads,Daylight,Slight Injury
18-30,Above 10yr,Morning,Automobile,Raining,Asphalt roads,Daylight,Slight Injury
18-30,Above 10yr,Morning,Automobile,Raining,Asphalt roads,Daylight,Slight Injury
18-30,Unknown,Morning,Automobile,Normal,Asphalt roads,Daylight,Slight Injury
Unknown,5-10yr,Morning,Other,Normal,Asphalt roads,Daylight,Slight Injury
31-50,Above 10yr,Evening,Other,Normal,Asphalt roads,Daylight,Slight Injury
31-50,2-5yr,Afternoon,Lorry,Normal,Asphalt roads,Daylight,Serious Injury
18-30,2-5yr,Afternoon,Lorry,Normal,Asphalt roads,Daylight,Slight Injury
Unknown,Unknown,Morning,Automobile,Normal,Asphalt roads,Daylight,Slight Injury
18-30,Above 10yr,Morning,Public_transport,Other,Asphalt roads,Daylight,Slight Injury
18-30,Below 1yr,Morning,Public_transport,Normal,Asphalt roads,Daylight,Serious Injury
31-50,5-10yr,Morning,Lorry,Normal,Earth roads,Daylight,Slight Injury
18-30,5-10yr,Afternoon,Lorry,Normal,Asphalt roads,Daylight,Slight Injury
Over 51,Unknown,Afternoon,Public_transport,Normal,Asphalt roads,Daylight,Slight Injury
Unknown,1-2yr,Morning,Other,Normal,Asphalt roads,Daylight,Slight Injury
Under 18,5-10yr,Morning,Lorry,Normal,Asphalt roads,Daylight,Slight Injury
Unknown,5-10yr,Morning,Automobile,Normal,Asphalt roads,Daylight,Slight Injury
31-50,5-10yr,Afternoon,Other,Normal,Asphalt roads,Daylight,Serious Injury
Unknown,5-10yr,Afternoon,Motorcycle,Normal,Asphalt roads,Daylight,Serious Injury
31-50,Above 10yr,Evening,Automobile,Normal,Gravel roads,Darkness - lights lit,Serious Injury
18-30,5-10yr,Evening,Automobile,Normal,Asphalt roads,Darkness - lights lit,Serious Injury
18-30,No Licence,Evening,Lorry,Normal,Asphalt roads,Darkness - lights lit,Slight Injury
31-50,5-10yr,Evening,Lorry,Normal,Asphalt roads,Darkness - lights lit,Serious Injury
31-50,5-10yr,Afternoon,Public_transport,Normal,Asphalt roads,Daylight,Slight Injury
Unknown,5-10yr,Afternoon,Lorry,Normal,Asphalt roads,Daylight,Slight Injury
31-50,5-10yr,Morning,Lorry,Normal,Asphalt roads,Daylight,Slight Injury
31-50,2-5yr,Morning,Lorry,Normal,Asphalt roads,Daylight,Slight Injury
Under 18,5-10yr,Afternoon,Public_transport,Normal,Asphalt roads,Daylight,Slight Injury
31-50,Above 10yr,Night,Public_transport,Unknown,Asphalt roads,Darkness - no lighting,Slight Injury
Unknown,1-2yr,Morning,Automobile,Normal,Asphalt roads,Daylight,Slight Injury
Unknown,Below 1yr,Afternoon,Lorry,Normal,Asphalt roads,Daylight,Slight Injury
18-30,1-2yr,Morning,Automobile,Normal,Asphalt roads,Daylight,Slight Injury
31-50,5-10yr,Morning,Pickup,Normal,Asphalt roads,Daylight,Slight Injury
31-50,Above 10yr,Morning,Automobile,Normal,Asphalt roads,Daylight,Slight Injury
18-30,5-10yr,Morning,Public_transport,Normal,Asphalt roads,Daylight,Serious Injury
Unknown,2-5yr,Morning,Public_transport,Normal,Asphalt roads,Daylight,Slight Injury
Over 51,Above 10yr,Evening,Unknown,Unknown,Asphalt roads,Daylight,Slight Injury
Unknown,2-5yr,Afternoon,Lorry,Normal,Asphalt roads,Daylight,Slight Injury
31-50,2-5yr,Afternoon,Lorry,Normal,Other,Daylight,Slight Injury
18-30,Above 10yr,Afternoon,Public_transport,Normal,Asphalt roads,Daylight,Slight Injury
31-50,2-5yr,Afternoon,Lorry,Normal,Other,Daylight,Slight Injury
31-50,Above 10yr,Morning,Other,Normal,Asphalt roads,Daylight,Slight Injury
18-30,Above 10yr,Morning,Automobile,Normal,Asphalt roads,Daylight,Slight Injury
31-50,Below 1yr,Afternoon,Other,Normal,Asphalt roads,Daylight,Slight Injury
31-50,5-10yr,Afternoon,Lorry,Normal,Asphalt roads,Daylight,Slight Injury
Unknown,2-5yr,Afternoon,Automobile,Normal,Asphalt roads,Daylight,Slight Injury
Unknown,Above 10yr,Morning,Public_transport,Normal,Asphalt roads,Daylight,Slight Injury
18-30,Below 1yr,Evening,Unknown,Normal,Asphalt roads,Daylight,Serious Injury
Over 51,2-5yr,Evening,Automobile,Normal,Asphalt roads,Daylight,Serious Injury
18-30,2-5yr,Morning,Public_transport,Normal,Asphalt roads,Daylight,Slight Injury
31-50,2-5yr,Afternoon,Lorry,Normal,Asphalt roads,Daylight,Slight Injury
18-30,1-2yr,Morning,Lorry,Normal,Asphalt roads,Daylight,Slight Injury
Over 51,5-10yr,Morning,Public_transport,Normal,Asphalt roads,Daylight,Slight Injury
31-50,1-2yr,Morning,Lorry,Normal,Asphalt roads,Daylight,Slight Injury
31-50,1-2yr,Afternoon,Motorcycle,Normal,Asphalt roads,Daylight,Slight Injury
18-30,5-10yr,Afternoon,Other,Normal,Asphalt roads,Daylight,Slight Injury
18-30,1-2yr,Morning,Automobile,Normal,Earth roads,Daylight,Serious Injury
31-50,2-5yr,Morning,Lorry,Normal,Asphalt roads,Daylight,Slight Injury
Unknown,5-10yr,Morning,Pickup,Normal,Asphalt roads,Daylight,Slight Injury
31-50,Unknown,Evening,Automobile,Normal,Asphalt roads,Daylight,Slight Injury
31-50,2-5yr,Morning,Automobile,Normal,Asphalt roads,Daylight,Slight Injury
Unknown,Above 10yr,Morning,Public_transport,Normal,Asphalt roads,Daylight,Slight Injury
31-50,Above 10yr,Morning,Automobile,Normal,Asphalt roads,Daylight,Slight Injury
31-50,Unknown,Morning,Automobile,Normal,Asphalt roads,Daylight,Slight Injury
31-50,Above 10yr,Morning,Automobile,Normal,Asphalt roads,Daylight,Slight Injury
31-50,Unknown,Afternoon,Lorry,Normal,Asphalt roads,Daylight,Slight Injury
31-50,5-10yr,Evening,Automobile,Normal,Gravel roads,Daylight,Slight Injury
18-30,Above 10yr,Evening,Automobile,Normal,Asphalt roads,Daylight,Slight Injury
18-30,Above 10yr,Morning,Public_transport,Normal,Earth roads,Daylight,Slight Injury
31-50,5-10yr,Morning,Automobile,Normal,Asphalt roads,Daylight,Slight Injury
Unknown,Above 10yr,Morning,Public_transport,Normal,Asphalt roads,Daylight,Slight Injury
31-50,2-5yr,Morning,Automobile,Normal,Asphalt roads,Daylight,Slight Injury
18-30,Below 1yr,Afternoon,Public_transport,Normal,Asphalt roads,Daylight,Slight Injury
18-30,Above 10yr,Evening,Automobile,Normal,Asphalt roads,Daylight,Slight Injury
18-30,Below 1yr,Night,Automobile,Normal,Asphalt roads,Darkness - lights lit,Slight Injury
18-30,5-10yr,Morning,Lorry,Normal,Asphalt roads,Daylight,Slight Injury
31-50,5-10yr,Morning,Automobile,Normal,Asphalt roads,Daylight,Slight Injury
31-50,Unknown,Morning,Motorcycle,Normal,Asphalt roads,Daylight,Fatal Injury
18-30,1-2yr,Morning,Unknown,Normal,Asphalt roads,Daylight,Fatal Injury
18-30,5-10yr,Morning,Automobile,Normal,Asphalt roads,Daylight,Slight Injury
Under 18,5-10yr,Evening,Automobile,Normal,Asphalt roads,Daylight,Slight Injury
31-50,5-10yr,Evening,Public_transport,Normal,Asphalt roads,Daylight,Slight Injury
31-50,Above 10yr,Afternoon,Unknown,Normal,Asphalt roads,Daylight,Slight Injury
31-50,5-10yr,Afternoon,Automobile,Normal,Asphalt roads,Daylight,Slight Injury
31-50,No Licence,Morning,Automobile,Normal,Asphalt roads,Daylight,Slight Injury
18-30,Below 1yr,Morning,Other,Normal,Asphalt roads,Daylight,Slight Injury
18-30,5-10yr,Morning,Automobile,Normal,Asphalt roads,Daylight,Slight Injury
18-30,5-10yr,Afternoon,Lorry,Normal,Earth roads,Daylight,Slight Injury
Unknown,5-10yr,Afternoon,Taxi,Normal,Asphalt roads,Daylight,Slight Injury
Unknown,5-10yr,Morning,Other,Normal,Asphalt roads,Daylight,Slight Injury
Unknown,5-10yr,Morning,Public_transport,Normal,Other,Daylight,Slight Injury
18-30,2-5yr,Evening,Automobile,Normal,Asphalt roads,Daylight,Slight Injury
18-30,5-10yr,Evening,Automobile,Normal,Asphalt roads,Daylight,Slight Injury
18-30,Above 10yr,Evening,Public_transport,Normal,Asphalt roads,Daylight,Slight Injury
18-30,1-2yr,Evening,Lorry,Normal,Asphalt roads,Daylight,Slight Injury
Unknown,1-2yr,Night,Lorry,Normal,Asphalt roads,Darkness - lights lit,Slight Injury
31-50,5-10yr,Night,Motorcycle,Normal,Asphalt roads,Darkness - lights lit,Slight Injury
31-50,1-2yr,Morning,Lorry,Normal,Asphalt roads,Daylight,Slight Injury
Over 51,2-5yr,Morning,Automobile,Normal,Asphalt roads,Daylight,Slight Injury
31-50,Below 1yr,Morning,Other,Normal,Asphalt roads,Daylight,Slight Injury
31-50,5-10yr,Afternoon,Other,Normal,Asphalt roads,Daylight,Slight Injury
18-30,5-10yr,Afternoon,Taxi,Normal,Asphalt roads,Daylight,Slight Injury
31-50,Above 10yr,Morning,Lorry,Normal,Asphalt roads,Daylight,Serious Injury
Unknown,5-10yr,Evening,Lorry,Normal,Asphalt roads,Darkness - lights lit,Serious Injury
31-50,Above 10yr,Afternoon,Lorry,Normal,Asphalt roads,Daylight,Slight Injury
Unknown,2-5yr,Afternoon,Lorry,Normal,Asphalt roads,Daylight,Slight Injury
Unknown,Below 1yr,Night,Automobile,Normal,Asphalt roads,Darkness - lights lit,Slight Injury
Unknown,Below 1yr,Night,Taxi,Normal,Gravel roads,Darkness - lights lit,Slight Injury
18-30,5-10yr,Evening,Other,Normal,Asphalt roads,Daylight,Serious Injury
Unknown,2-5yr,Evening,Automobile,Normal,Asphalt roads,Daylight,Serious Injury
Unknown,2-5yr,Evening,Automobile,Normal,Asphalt roads,Daylight,Slight Injury
18-30,5-10yr,Morning,Automobile,Normal,Asphalt roads,Daylight,Slight Injury
18-30,Above 10yr,Morning,Public_transport,Normal,Asphalt roads,Daylight,Slight Injury
31-50,5-10yr,Afternoon,Lorry,Normal,Asphalt roads,Daylight,Slight Injury
Unknown,1-2yr,Afternoon,Lorry,Normal,Asphalt roads,Daylight,Slight Injury
31-50,5-10yr,Afternoon,Automobile,Normal,Asphalt roads,Daylight,Slight Injury
31-50,5-10yr,Morning,Other,Normal,Asphalt roads,Daylight,Slight Injury
18-30,1-2yr,Morning,Automobile,Normal,Asphalt roads,Daylight,Slight Injury
31-50,5-10yr,Evening,Pickup,Normal,Asphalt roads,Darkness - lights lit,Slight Injury
31-50,Above 10yr,Evening,Motorcycle,Normal,Asphalt roads,Darkness - lights lit,Slight Injury
Unknown,Below 1yr,Morning,Automobile,Normal,Asphalt roads,Daylight,Serious Injury
18-30,Above 10yr,Morning,Motorcycle,Normal,Asphalt roads,Daylight,Slight Injury
18-30,Below 1yr,Morning,Automobile,Normal,Gravel roads,Daylight,Slight Injury
18-30,1-2yr,Morning,Lorry,Normal,Asphalt roads,Daylight,Slight Injury
31-50,Above 10yr,Evening,Automobile,Normal,Asphalt roads,Daylight,Serious Injury
31-50,Above 10yr,Evening,Lorry,Normal,Asphalt roads,Daylight,Serious Injury
18-30,No Licence,Morning,Automobile,Normal,Asphalt roads,Daylight,Slight Injury
Unknown,1-2yr,Morning,Public_transport,Normal,Asphalt roads,Daylight,Slight Injury
18-30,1-2yr,Morning,Lorry,Normal,Asphalt roads,Daylight,Slight Injury
31-50,1-2yr,Morning,Lorry,Normal,Asphalt roads,Daylight,Slight Injury
31-50,2-5yr,Morning,Other,Normal,Asphalt roads,Daylight,Slight Injury
31-50,5-10yr,Afternoon,Automobile,Normal,Asphalt roads,Daylight,Slight Injury
31-50,Above 10yr,Afternoon,Lorry,Normal,Asphalt roads,Daylight,Slight Injury
18-30,2-5yr,Afternoon,Lorry,Normal,Asphalt roads,Daylight,Slight Injury
18-30,Above 10yr,Evening,Lorry,Normal,Asphalt roads,Daylight,Slight Injury
18-30,5-10yr,Evening,Automobile,Normal,Asphalt roads,Daylight,Slight Injury
18-30,5-10yr,Morning,Taxi,Normal,Asphalt roads,Daylight,Slight Injury
18-30,Below 1yr,Evening,Lorry,Normal,Asphalt roads,Darkness - lights lit,Serious Injury
31-50,2-5yr,Morning,Lorry,Normal,Asphalt roads,Daylight,Slight Injury
Unknown,5-10yr,Night,Lorry,Normal,Asphalt roads,Darkness - lights lit,Slight Injury
31-50,5-10yr,Night,Lorry,Normal,Asphalt roads,Darkness - lights lit,Slight Injury
31-50,Above 10yr,Evening,Public_transport,Normal,Asphalt roads,Daylight,Slight Injury
31-50,5-10yr,Evening,Automobile,Normal,Asphalt roads,Daylight,Slight Injury
31-50,5-10yr,Morning,Automobile,Normal,Asphalt roads,Daylight,Slight Injury
31-50,Above 10yr,Morning,Pickup,Normal,Asphalt roads,Daylight,Slight Injury
31-50,Unknown,Morning,Unknown,Normal,Asphalt roads,Daylight,Slight Injury
18-30,5-10yr,Morning,Automobile,Normal,Asphalt roads,Daylight,Slight Injury
Over 51,5-10yr,Afternoon,Unknown,Normal,Asphalt roads,Daylight,Slight Injury
31-50,Below 1yr,Night,Automobile,Normal,Asphalt roads,Darkness - lights lit,Slight Injury
31-50,Unknown,Evening,Automobile,Normal,Asphalt roads,Daylight,Slight Injury
31-50,5-10yr,Evening,Lorry,Normal,Asphalt roads,Daylight,Slight Injury
18-30,5-10yr,Morning,Public_transport,Unknown,Asphalt roads,Daylight,Serious Injury
Unknown,Above 10yr,Morning,Public_transport,Unknown,Asphalt roads,Daylight,Serious Injury
31-50,Above 10yr,Afternoon,Lorry,Normal,Asphalt roads,Daylight,Slight Injury
18-30,Above 10yr,Afternoon,Lorry,Normal,Asphalt roads,Daylight,Slight Injury
18-30,Above 10yr,Morning,Pickup,Normal,Asphalt roads,Daylight,Serious Injury
18-30,Above 10yr,Morning,Automobile,Normal,Asphalt roads,Daylight,Serious Injury
31-50,Above 10yr,Afternoon,Automobile,Normal,Asphalt roads,Daylight,Serious Injury
Unknown,5-10yr,Evening,Automobile,Normal,Asphalt roads,Darkness - lights lit,Slight Injury
18-30,2-5yr,Afternoon,Lorry,Normal,Asphalt roads,Daylight,Slight Injury
18-30,Below 1yr,Afternoon,Lorry,Normal,Asphalt roads,Daylight,Slight Injury
31-50,Below 1yr,Afternoon,Automobile,Normal,Asphalt roads,Daylight,Slight Injury
31-50,2-5yr,Evening,Automobile,Normal,Asphalt roads,Daylight,Slight Injury
18-30,Below 1yr,Morning,Other,Normal,Asphalt roads,Daylight,Slight Injury
31-50,Unknown,Morning,Other,Normal,Asphalt roads,Daylight,Slight Injury
31-50,5-10yr,Afternoon,Lorry,Normal,Asphalt roads,Daylight,Slight Injury
Over 51,Below 1yr,Afternoon,Lorry,Normal,Asphalt roads,Daylight,Slight Injury
31-50,1-2yr,Afternoon,Lorry,Normal,Asphalt roads,Daylight,Slight Injury
31-50,Above 10yr,Afternoon,Automobile,Normal,Asphalt roads,Daylight,Slight Injury
18-30,Below 1yr,Afternoon,Automobile,Normal,Asphalt roads,Daylight,Slight Injury
18-30,2-5yr,Evening,Automobile,Normal,Asphalt roads,Daylight,Slight Injury
18-30,Above 10yr,Evening,Unknown,Normal,Asphalt roads,Daylight,Slight Injury
18-30,2-5yr,Morning,Public_transport,Normal,Asphalt roads,Daylight,Serious Injury
Over 51,1-2yr,Evening,Automobile,Normal,Asphalt roads,Daylight,Slight Injury
31-50,5-10yr,Evening,Automobile,Normal,Asphalt roads,Daylight,Slight Injury
Over 51,Below 1yr,Evening,Bicycle,Normal,Asphalt roads,Darkness - lights lit,Slight Injury
31-50,Below 1yr,Evening,Automobile,Normal,Asphalt roads,Darkness - lights lit,Slight Injury
Over 51,Unknown,Night,Lorry,Raining,Asphalt roads,Darkness - lights lit,Slight Injury
Over 51,1-2yr,Night,Public_transport,Raining,Asphalt roads,Darkness - lights lit,Slight Injury
Under 18,2-5yr,Night,Other,Raining,Asphalt roads,Darkness - lights lit,Slight Injury
31-50,1-2yr,Morning,Automobile,Normal,Asphalt roads,Daylight,Slight Injury
18-30,Below 1yr,Morning,Unknown,Normal,Asphalt roads,Daylight,Slight Injury
18-30,Above 10yr,Morning,Lorry,Normal,Asphalt roads,Daylight,Slight Injury
Over 51,5-10yr,Afternoon,Lorry,Normal,Asphalt roads,Daylight,Slight Injury
Over 51,Below 1yr,Afternoon,Public_transport,Normal,Asphalt roads,Daylight,Slight Injury
18-30,5-10yr,Afternoon,Lorry,Normal,Asphalt roads,Daylight,Slight Injury
Over 51,5-10yr,Morning,Lorry,Normal,Asphalt roads,Daylight,Slight Injury
31-50,2-5yr,Morning,Public_transport,Normal,Asphalt roads,Daylight,Slight Injury
18-30,Above 10yr,Night,Public_transport,Normal,Asphalt roads,Darkness - lights lit,Slight Injury
31-50,5-10yr,Night,Automobile,Normal,Asphalt roads,Darkness - lights lit,Slight Injury
31-50,1-2yr,Morning,Pickup,Normal,Asphalt roads,Daylight,Slight Injury
18-30,Above 10yr,Afternoon,Automobile,Normal,Asphalt roads,Daylight,Slight Injury
31-50,2-5yr,Afternoon,Other,Normal,Asphalt roads,Daylight,Slight Injury
18-30,5-10yr,Morning,Unknown,Normal,Asphalt roads,Daylight,Serious Injury
31-50,Below 1yr,Morning,Automobile,Normal,Asphalt roads,Daylight,Serious Injury
31-50,5-10yr,Morning,Automobile,Normal,Asphalt roads,Daylight,Serious Injury
Unknown,Above 10yr,Evening,Pickup,Normal,Asphalt roads,Darkness - lights lit,Slight Injury
Over 51,1-2yr,Morning,Automobile,Normal,Asphalt roads,Daylight,Slight Injury
31-50,Unknown,Morning,Unknown,Normal,Asphalt roads,Daylight,Slight Injury
Unknown,1-2yr,Morning,Lorry,Normal,Asphalt roads,Daylight,Slight Injury
31-50,Above 10yr,Morning,Lorry,Raining,Asphalt roads,Daylight,Slight Injury
31-50,1-2yr,Morning,Lorry,Raining,Asphalt roads,Daylight,Slight Injury
31-50,5-10yr,Morning,Pickup,Normal,Asphalt roads,Daylight,Slight Injury
31-50,2-5yr,Morning,Pickup,Normal,Asphalt roads,Daylight,Slight Injury
31-50,Unknown,Morning,Automobile,Normal,Asphalt roads,Daylight,Slight Injury
Over 51,2-5yr,Morning,Other,Normal,Asphalt roads,Daylight,Slight Injury
Unknown,Above 10yr,Morning,Automobile,Raining,Asphalt roads,Daylight,Slight Injury
31-50,1-2yr,Night,Motorcycle,Normal,Asphalt roads,Darkness - lights lit,Slight Injury
