driver_age_band,driver_experience,time_of_day,driver_education,vehicle_service_year,vehicle_type,weather,road_surface,light_condition,driver_sex,driver_vehicle_relation,vehicle_owner,vehicle_defect,Accident_severity
Over 51,1-2yr,Afternoon,Junior high school,Unknown,Lorry,Raining,Gravel roads,Daylight,Male,Unknown,Owner,No defect,Slight Injury
18-30,2-5yr,Afternoon,Junior high school,Unknown,Unknown,Normal,Asphalt roads,Daylight,Male,Employee,Owner,No defect,Slight Injury
31-50,Unknown,Afternoon,Unknown,Unknown,Unknown,Normal,Asphalt roads,Daylight,Male,Unknown,Owner,No defect,Slight Injury
31-50,5-10yr,Afternoon,Elementary school,Above 10yr,Public_transport,Normal,Asphalt roads,Daylight,Male,Employee,Organization,Unknown,Slight Injury
Unknown,5-10yr,Evening,Junior high school,Unknown,Public_transport,Normal,Earth roads,Daylight,Female,Employee,Owner,Unknown,Slight Injury
31-50,Above 10yr,Evening,Junior high school,2-5yrs,Automobile,Normal,Asphalt roads,Daylight,Male,Employee,Owner,No defect,Slight Injury
31-50,2-5yr,Afternoon,Junior high school,5-10yrs,Unknown,Normal,Asphalt roads,Daylight,Unknown,Employee,Organization,No defect,Slight Injury
18-30,Above 10yr,Afternoon,Junior high school,Above 10yr,Automobile,Normal,Unknown,Daylight,Male,Owner,Owner,No defect,Slight Injury
18-30,2-5yr,Afternoon,Junior high school,2-5yrs,Lorry,Normal,Gravel roads,Daylight,Male,Employee,Owner,No defect,Slight Injury
31-50,5-10yr,Afternoon,Elementary school,1-2yr,Public_transport,Normal,Asphalt roads,Daylight,Male,Other,Owner,Unknown,Slight Injury
18-30,5-10yr,Evening,Elementary school,2-5yrs,Lorry,Normal,Unknown,Darkness - lights lit,Male,Employee,Owner,Unknown,Slight Injury
31-50,5-10yr,Evening,Junior high school,Unknown,Automobile,Normal,Asphalt roads,Darkness - lights lit,Male,Unknown,Owner,No defect,Slight Injury
31-50,Above 10yr,Morning,Elementary school,Unknown,Automobile,Normal,Asphalt roads,Daylight,Male,Employee,Owner,No defect,Slight Injury
31-50,5-10yr,Morning,Junior high school,2-5yrs,Public_transport,Normal,Asphalt roads,Daylight,Male,Employee,Owner,Unknown,Slight Injury
Over 51,1-2yr,Afternoon,Elementary school,5-10yrs,Lorry,Normal,Asphalt roads,Daylight,Male,Employee,Owner,Unknown,Serious Injury
Over 51,Unknown,Afternoon,Unknown,Unknown,Unknown,Normal,Asphalt roads,Daylight,Unknown,Unknown,Unknown,Unknown,Slight Injury
31-50,Above 10yr,Evening,Junior high school,5-10yrs,Unknown,Normal,Earth roads,Darkness - lights lit,Male,Employee,Owner,No defect,Slight Injury
Under 18,2-5yr,Evening,High school,Unknown,Automobile,Normal,Asphalt roads,Darkness - lights lit,Male,Owner,Owner,No defect,Slight Injury
31-50,1-2yr,Evening,Junior high school,Unknown,Lorry,Normal,Asphalt roads,Darkness - lights lit,Male,Employee,Owner,No defect,Serious Injury
31-50,1-2yr,Evening,Junior high school,1-2yr,Lorry,Normal,Asphalt roads,Darkness - lights lit,Male,Employee,Owner,No defect,Serious Injury
Over 51,2-5yr,Afternoon,Above high school,Unknown,Pickup,Normal,Asphalt roads,Daylight,Male,Owner,Owner,No defect,Slight Injury
Over 51,Unknown,Afternoon,Unknown,Unknown,Lorry,Normal,Asphalt roads,Daylight,Male,Unknown,Owner,Unknown,Slight Injury
Over 51,2-5yr,Evening,Elementary school,Unknown,Automobile,Normal,Asphalt roads,Darkness - lights lit,Unknown,Owner,Owner,No defect,Slight Injury
Over 51,1-2yr,Evening,Junior high school,Unknown,Other,Normal,Asphalt roads,Darkness - lights lit,Male,Employee,Owner,Unknown,Slight Injury
31-50,5-10yr,Evening,Unknown,5-10yrs,Other,Normal,Asphalt roads,Darkness - lights lit,Male,Owner,Owner,Unknown,Slight Injury
18-30,Below 1yr,Morning,Junior high school,5-10yrs,Lorry,Normal,Asphalt roads,Daylight,Unknown,Employee,Owner,Unknown,Serious Injury
31-50,5-10yr,Afternoon,Junior high school,2-5yrs,Automobile,Normal,Asphalt roads,Daylight,Male,Employee,Owner,No defect,Fatal Injury
18-30,Above 10yr,Afternoon,Elementary school,Above 10yr,Lorry,Normal,Asphalt roads,Daylight,Male,Owner,Owner,No defect,Slight Injury
Over 51,1-2yr,Morning,Junior high school,Unknown,Automobile,Normal,Asphalt roads,Daylight,Male,Employee,Owner,Unknown,Slight Injury
Over 51,5-10yr,Morning,Junior high school,Unknown,Pickup,Normal,Asphalt roads,Daylight,Male,Employee,Governmental,No defect,Slight Injury
18-30,2-5yr,Afternoon,Junior high school,2-5yrs,Lorry,Normal,Other,Daylight,Male,Employee,Owner,No defect,Slight Injury
18-30,2-5yr,Afternoon,Junior high school,Unknown,Public_transport,Normal,Gravel roads,Daylight,Male,Employee,Owner,No defect,Slight Injury
18-30,2-5yr,Evening,Junior high school,2-5yrs,Automobile,Normal,Asphalt roads,Darkness - lights lit,Unknown,Employee,Owner,Unknown,Slight Injury
Over 51,Above 10yr,Evening,Junior high school,5-10yrs,Automobile,Normal,Asphalt roads,Darkness - lights lit,Male,Employee,Owner,Unknown,Slight Injury
18-30,Above 10yr,Evening,Junior high school,Unknown,Other,Normal,Earth roads,Darkness - lights lit,Male,Employee,Owner,Unknown,Slight Injury
18-30,Unknown,Evening,Unknown,Unknown,Lorry,Normal,Asphalt roads,Darkness - lights lit,Male,Employee,Owner,Unknown,Slight Injury
18-30,2-5yr,Evening,Unknown,Unknown,Public_transport,Normal,Asphalt roads,Darkness - lights lit,Male,Employee,Owner,Unknown,Slight Injury
18-30,5-10yr,Afternoon,Elementary school,Unknown,Public_transport,Normal,Asphalt roads,Daylight,Male,Employee,Owner,Unknown,Slight Injury
31-50,Above 10yr,Afternoon,Junior high school,Below 1yr,Other,Normal,Asphalt roads,Daylight,Unknown,Employee,Owner,Unknown,Slight Injury
Under 18,Above 10yr,Evening,Junior high school,Unknown,Public_transport,Normal,Asphalt roads,Darkness - no lighting,Male,Employee,Owner,Unknown,Serious Injury
Under 18,5-10yr,Evening,Elementary school,Unknown,Other,Normal,Asphalt roads,Darkness - no lighting,Male,Employee,Owner,Unknown,Serious Injury
Over 51,1-2yr,Evening,Elementary school,Unknown,Public_transport,Normal,Asphalt roads,Darkness - lights unlit,Male,Employee,Owner,No defect,Slight Injury
31-50,5-10yr,Evening,Elementary school,Unknown,Other,Normal,Asphalt roads,Darkness - lights unlit,Unknown,Employee,Governmental,No defect,Slight Injury
31-50,5-10yr,Evening,Elementary school,Unknown,Lorry,Normal,Asphalt roads,Darkness - lights unlit,Male,Employee,Owner,No defect,Slight Injury
18-30,2-5yr,Afternoon,Elementary school,2-5yrs,Other,Normal,Asphalt roads,Daylight,Male,Employee,Owner,Unknown,Slight Injury
31-50,5-10yr,Afternoon,Elementary school,Unknown,Other,Normal,Asphalt roads,Daylight,Male,Employee,Owner,Unknown,Slight Injury
31-50,5-10yr,Evening,Unknown,Above 10yr,Other,Normal,Earth roads,Daylight,Unknown,Unknown,Owner,Unknown,Slight Injury
18-30,Above 10yr,Afternoon,Junior high school,Unknown,Pickup,Normal,Asphalt roads,Daylight,Male,Employee,Owner,No defect,Slight Injury
Unknown,Above 10yr,Night,Junior high school,Unknown,Automobile,Normal,Asphalt roads,Darkness - lights lit,Female,Employee,Owner,No defect,Slight Injury
18-30,Below 1yr,Night,Elementary school,Unknown,Other,Normal,Asphalt roads,Darkness - lights lit,Unknown,Employee,Owner,No defect,Slight Injury
18-30,5-10yr,Night,Elementary school,Unknown,Public_transport,Normal,Earth roads,Darkness - lights lit,Male,Owner,Owner,No defect,Slight Injury
31-50,2-5yr,Evening,Elementary school,2-5yrs,Automobile,Raining,Asphalt roads,Darkness - lights lit,Male,Employee,Governmental,Unknown,Slight Injury
18-30,Above 10yr,Evening,Elementary school,Unknown,Pickup,Raining,Asphalt roads,Darkness - lights lit,Male,Employee,Governmental,Unknown,Slight Injury
18-30,2-5yr,Afternoon,Elementary school,Unknown,Lorry,Normal,Asphalt roads,Daylight,Male,Employee,Owner,Unknown,Slight Injury
31-50,Above 10yr,Afternoon,Junior high school,Unknown,Public_transport,Normal,Asphalt roads,Daylight,Male,Employee,Owner,Unknown,Slight Injury
18-30,Below 1yr,Afternoon,Junior high school,Unknown,Other,Normal,Asphalt roads,Daylight,Male,Employee,Owner,Unknown,Slight Injury
18-30,2-5yr,Afternoon,Junior high school,Unknown,Lorry,Normal,Asphalt roads,Daylight,Male,Employee,Organization,Unknown,Serious Injury
Under 18,5-10yr,Morning,Elementary school,2-5yrs,Pickup,Normal,Asphalt roads,Daylight,Unknown,Employee,Governmental,Unknown,Slight Injury
31-50,1-2yr,Afternoon,Elementary school,Above 10yr,Lorry,Normal,Other,Daylight,Male,Employee,Owner,Unknown,Slight Injury
18-30,Unknown,Night,Elementary school,Unknown,Other,Normal,Asphalt roads,Darkness - lights lit,Male,Employee,Unknown,Unknown,Slight Injury
18-30,1-2yr,Night,Junior high school,2-5yrs,Automobile,Normal,Asphalt roads,Darkness - lights lit,Male,Employee,Owner,No defect,Slight Injury
18-30,5-10yr,Night,Unknown,2-5yrs,Automobile,Normal,Asphalt roads,Darkness - lights lit,Male,Employee,Owner,Unknown,Slight Injury
31-50,1-2yr,Afternoon,Elementary school,2-5yrs,Automobile,Normal,Asphalt roads,Daylight,Male,Owner,Owner,Unknown,Slight Injury
Under 18,5-10yr,Evening,Junior high school,2-5yrs,Other,Raining,Asphalt roads,Darkness - lights lit,Male,Employee,Owner,Unknown,Slight Injury
31-50,2-5yr,Night,Junior high school,1-2yr,Lorry,Normal,Asphalt roads,Darkness - no lighting,Male,Employee,Owner,Unknown,Serious Injury
18-30,5-10yr,Afternoon,Junior high school,5-10yrs,Lorry,Normal,Earth roads,Daylight,Unknown,Employee,Owner,Unknown,Slight Injury
31-50,Below 1yr,Evening,Junior high school,Below 1yr,Automobile,Normal,Asphalt roads,Darkness - lights lit,Male,Owner,Owner,Unknown,Slight Injury
31-50,Below 1yr,Morning,High school,Unknown,Public_transport,Raining,Asphalt roads,Darkness - lights lit,Male,Employee,Owner,Unknown,Serious Injury
31-50,Unknown,Morning,Junior high school,Unknown,Automobile,Raining,Asphalt roads,Darkness - lights lit,Male,Employee,Owner,Unknown,Serious Injury
Under 18,Below 1yr,Afternoon,Junior high school,2-5yrs,Public_transport,Normal,Asphalt roads,Darkness - lights lit,Male,Employee,Owner,Unknown,Serious Injury
18-30,5-10yr,Night,Junior high school,Unknown,Lorry,Raining,Asphalt roads,Darkness - lights lit,Male,Employee,Owner,Unknown,Slight Injury
18-30,5-10yr,Night,Elementary school,Unknown,Lorry,Raining,Asphalt roads,Darkness - lights lit,Male,Employee,Owner,No defect,Slight Injury
18-30,5-10yr,Night,Unknown,Above 10yr,Pickup,Raining,Asphalt roads,Darkness - lights lit,Unknown,Owner,Owner,No defect,Slight Injury
18-30,5-10yr,Afternoon,Junior high school,2-5yrs,Other,Normal,Asphalt roads,Daylight,Male,Employee,Owner,Unknown,Slight Injury
Under 18,5-10yr,Morning,Junior high school,2-5yrs,Automobile,Raining,Asphalt roads,Daylight,Male,Owner,Owner,Unknown,Slight Injury
18-30,2-5yr,Night,Illiterate,Unknown,Automobile,Normal,Asphalt roads,Darkness - lights lit,Male,Employee,Owner,No defect,Slight Injury
31-50,5-10yr,Night,Junior high school,5-10yrs,Lorry,Normal,Asphalt roads,Darkness - lights lit,Male,Employee,Owner,7,Slight Injury
31-50,Below 1yr,Night,Junior high school,Unknown,Bajaj,Normal,Asphalt roads,Darkness - lights lit,Male,Employee,Owner,7,Slight Injury
18-30,1-2yr,Night,Junior high school,Unknown,Automobile,Raining and Windy,Asphalt roads,Darkness - lights lit,Male,Employee,Owner,No defect,Slight Injury
Unknown,2-5yr,Afternoon,Elementary school,Unknown,Lorry,Cloudy,Asphalt roads,Daylight,Female,Employee,Owner,No defect,Slight Injury
31-50,5-10yr,Afternoon,Elementary school,5-10yrs,Lorry,Cloudy,Unknown,Daylight,Male,Employee,Owner,No defect,Slight Injury
31-50,5-10yr,Afternoon,Junior high school,Unknown,Automobile,Cloudy,Asphalt roads,Daylight,Male,Employee,Governmental,No defect,Slight Injury
Under 18,Unknown,Afternoon,Unknown,Unknown,Unknown,Raining,Asphalt roads,Darkness - lights lit,Male,Unknown,Unknown,Unknown,Slight Injury
Under 18,Above 10yr,Afternoon,Junior high school,Unknown,Automobile,Raining,Asphalt roads,Darkness - lights lit,Male,Employee,Owner,Unknown,Slight Injury
