driver_age_band,driver_experience,time_of_day,driver_education,vehicle_service_year,vehicle_type,weather,road_surface,light_condition,driver_sex,driver_vehicle_relation,vehicle_owner,vehicle_defect,Accident_severity
31-50,Above 10yr,Morning,Junior high school,5-10yrs,Public_transport,Normal,Asphalt roads,Daylight,Male,Employee,Owner,Unknown,Slight Injury
31-50,2-5yr,Afternoon,Junior high school,2-5yrs,Automobile,Normal,Asphalt roads,Darkness - lights lit,Male,Employee,Unknown,No defect,Slight Injury
Over 51,Above 10yr,Evening,High school,Unknown,Automobile,Normal,Earth roads,Darkness - lights lit,Male,Employee,Owner,No defect,Serious Injury
18-30,Above 10yr,Afternoon,Junior high school,5-10yrs,Lorry,Normal,Asphalt roads,Daylight,Male,Employee,Owner,No defect,Slight Injury
31-50,5-10yr,Afternoon,High school,Unknown,Other,Normal,Asphalt roads,Daylight,Unknown,Employee,Governmental,No defect,Slight Injury
Unknown,Above 10yr,Afternoon,Junior high school,5-10yrs,Pickup,Normal,Asphalt roads,Daylight,Female,Employee,Owner,Unknown,Slight Injury
31-50,1-2yr,Afternoon,Junior high school,Unknown,Unknown,Normal,Asphalt roads,Darkness - lights lit,Male,Employee,Owner,Unknown,Slight Injury
31-50,2-5yr,Afternoon,Junior high school,5-10yrs,Lorry,Normal,Asphalt roads,Darkness - lights lit,Male,Employee,Owner,Unknown,Slight Injury
18-30,2-5yr,Morning,Elementary school,Unknown,Automobile,Normal,Asphalt roads,Daylight,Male,Employee,Owner,No defect,Slight Injury
31-50,5-10yr,Morning,Elementary school,Unknown,Public_transport,Normal,Asphalt roads,Daylight,Male,Other,Owner,No defect,Slight Injury
18-30,5-10yr,Afternoon,Junior high school,Above 10yr,Automobile,Normal,Asphalt roads,Daylight,Male,Employee,Owner,Unknown,Slight Injury
31-50,5-10yr,Afternoon,High school,Unknown,Lorry,Normal,Asphalt roads,Daylight,Male,Owner,Owner,No defect,Slight Injury
Over 51,Below 1yr,Afternoon,Junior high school,Below 1yr,Motorcycle,Normal,Asphalt roads,Daylight,Male,Employee,Governmental,Unknown,Slight Injury
18-30,Below 1yr,Afternoon,Junior high school,Unknown,Public_transport,Normal,Asphalt roads,Darkness - lights lit,Male,Other,Owner,No defect,Slight Injury
31-50,Above 10yr,Afternoon,Junior high school,Unknown,Lorry,Normal,Asphalt roads,Darkness - lights lit,Male,Employee,Owner,No defect,Slight Injury
Over 51,5-10yr,Afternoon,High school,Unknown,Automobile,Normal,Asphalt roads,Darkness - lights lit,Male,Owner,Owner,No defect,Slight Injury
31-50,5-10yr,Afternoon,Elementary school,Unknown,Lorry,Normal,Asphalt roads,Darkness - lights lit,Male,Owner,Owner,Unknown,Slight Injury
Over 51,2-5yr,Morning,Junior high school,Unknown,Pickup,Normal,Asphalt roads,Daylight,Male,Employee,Owner,Unknown,Slight Injury
31-50,5-10yr,Afternoon,Above high school,Unknown,Automobile,Normal,Earth roads,Darkness - lights lit,Male,Employee,Organization,Unknown,Slight Injury
Over 51,2-5yr,Morning,Junior high school,Unknown,Automobile,Normal,Asphalt roads,Daylight,Male,Owner,Owner,Unknown,Serious Injury
Over 51,Unknown,Morning,Unknown,Unknown,Unknown,Normal,Asphalt roads,Daylight,Male,Unknown,Unknown,Unknown,Serious Injury
18-30,2-5yr,Morning,Junior high school,5-10yrs,Other,Normal,Asphalt roads,Daylight,Male,Employee,Organization,Unknown,Serious Injury
Unknown,5-10yr,Afternoon,Junior high school,Above 10yr,Automobile,Normal,Asphalt roads,Darkness - lights lit,Female,Employee,Owner,Unknown,Slight Injury
31-50,1-2yr,Afternoon,Elementary school,2-5yrs,Public_transport,Normal,Asphalt roads,Darkness - no lighting,Male,Employee,Owner,Unknown,Slight Injury
31-50,Unknown,Afternoon,High school,Unknown,Automobile,Normal,Asphalt roads,Darkness - no lighting,Male,Employee,Owner,Unknown,Slight Injury
18-30,1-2yr,Afternoon,Junior high school,Above 10yr,Public_transport,Normal,Asphalt roads,Darkness - no lighting,Male,Owner,Owner,No defect,Slight Injury
Over 51,2-5yr,Night,Junior high school,5-10yrs,Public_transport,Normal,Asphalt roads,Darkness - lights lit,Male,Employee,Owner,Unknown,Slight Injury
18-30,1-2yr,Night,Junior high school,Unknown,Lorry,Normal,Asphalt roads,Darkness - lights lit,Male,Employee,Owner,No defect,Slight Injury
18-30,Above 10yr,Evening,Elementary school,Unknown,Automobile,Normal,Earth roads,Darkness - lights lit,Male,Employee,Owner,No defect,Slight Injury
18-30,2-5yr,Evening,Junior high school,Unknown,Pickup,Normal,Asphalt roads,Darkness - lights lit,Male,Employee,Owner,No defect,Slight Injury
18-30,2-5yr,Evening,Junior high school,Unknown,Pickup,Normal,Asphalt roads,Darkness - lights lit,Male,Employee,Owner,No defect,Serious Injury
31-50,2-5yr,Afternoon,Junior high school,Unknown,Lorry,Normal,Asphalt roads,Darkness - lights lit,Male,Employee,Owner,No defect,Slight Injury
Over 51,2-5yr,Morning,Junior high school,Unknown,Automobile,Normal,Asphalt roads,Daylight,Male,Employee,Governmental,No defect,Slight Injury
18-30,2-5yr,Morning,Elementary school,Unknown,Automobile,Normal,Asphalt roads,Daylight,Male,Employee,Owner,No defect,Slight Injury
Over 51,2-5yr,Evening,Junior high school,Unknown,Motorcycle,Normal,Asphalt roads,Darkness - lights lit,Male,Employee,Owner,No defect,Slight Injury
18-30,5-10yr,Evening,Elementary school,2-5yrs,Unknown,Normal,Asphalt roads,Darkness - lights lit,Male,Employee,Owner,Unknown,Slight Injury
18-30,2-5yr,Afternoon,Elementary school,2-5yrs,Other,Raining,Asphalt roads,Daylight,Male,Employee,Owner,Unknown,Serious Injury
Over 51,Above 10yr,Afternoon,Junior high school,Unknown,Automobile,Raining,Gravel roads,Daylight,Male,Employee,Owner,No defect,Serious Injury
18-30,Above 10yr,Afternoon,Junior high school,Unknown,Automobile,Normal,Asphalt roads,Darkness - lights lit,Male,Employee,Owner,No defect,Slight Injury
18-30,5-10yr,Afternoon,Junior high school,Unknown,Public_transport,Normal,Asphalt roads,Darkness - lights lit,Male,Employee,Governmental,No defect,Slight Injury
18-30,2-5yr,Afternoon,Junior high school,Unknown,Automobile,Normal,Asphalt roads,Darkness - lights lit,Male,Owner,Owner,Unknown,Slight Injury
31-50,1-2yr,Afternoon,Elementary school,Unknown,Other,Other,Asphalt roads,Daylight,Male,Employee,Owner,Unknown,Slight Injury
18-30,2-5yr,Afternoon,Junior high school,Unknown,Automobile,Normal,Asphalt roads,Darkness - lights lit,Male,Employee,Owner,No defect,Slight Injury
Over 51,5-10yr,Evening,Junior high school,5-10yrs,Other,Normal,Asphalt roads,Darkness - lights lit,Male,Employee,Owner,Unknown,Slight Injury
Under 18,Unknown,Evening,Unknown,Unknown,Lorry,Normal,Asphalt roads,Darkness - lights lit,Male,Unknown,Owner,Unknown,Slight Injury
Over 51,5-10yr,Evening,Elementary school,Unknown,Pickup,Normal,Asphalt roads,Darkness - lights lit,Male,Owner,Owner,No defect,Slight Injury
31-50,Above 10yr,Evening,Junior high school,Unknown,Automobile,Normal,Asphalt roads,Darkness - lights lit,Male,Employee,Owner,No defect,Slight Injury
31-50,1-2yr,Evening,Junior high school,1-2yr,Pickup,Normal,Asphalt roads,Darkness - lights lit,Male,Employee,Other,No defect,Slight Injury
Unknown,Unknown,Evening,High school,5-10yrs,Automobile,Normal,Asphalt roads,Darkness - lights lit,Female,Owner,Owner,No defect,Slight Injury
Unknown,2-5yr,Evening,Junior high school,Unknown,Lorry,Normal,Asphalt roads,Darkness - lights lit,Female,Employee,Owner,No defect,Slight Injury
Over 51,5-10yr,Afternoon,Junior high school,5-10yrs,Automobile,Normal,Asphalt roads,Darkness - lights lit,Male,Employee,Owner,Unknown,Slight Injury
31-50,2-5yr,Afternoon,Junior high school,2-5yrs,Lorry,Normal,Asphalt roads,Darkness - lights lit,Male,Employee,Owner,Unknown,Slight Injury
31-50,Above 10yr,Afternoon,Junior high school,Unknown,Lorry,Normal,Asphalt roads,Darkness - lights lit,Male,Employee,Owner,No defect,Slight Injury
Over 51,5-10yr,Afternoon,Junior high school,1-2yr,Public_transport,Normal,Asphalt roads,Darkness - lights lit,Male,Employee,Governmental,No defect,Serious Injury
18-30,Above 10yr,Evening,Elementary school,1-2yr,Other,Windy,Earth roads,Darkness - lights lit,Male,Employee,Organization,No defect,Slight Injury
31-50,5-10yr,Evening,Elementary school,Unknown,Other,Windy,Asphalt roads,Darkness - lights lit,Male,Employee,Owner,No defect,Slight Injury
18-30,2-5yr,Evening,Elementary school,Unknown,Other,Windy,Asphalt roads,Darkness - lights lit,Male,Employee,Owner,Unknown,Slight Injury
31-50,2-5yr,Evening,Elementary school,2-5yrs,Automobile,Unknown,Asphalt roads,Darkness - no lighting,Male,Employee,Owner,Unknown,Slight Injury
18-30,5-10yr,Evening,Junior high school,Unknown,Other,Unknown,Asphalt roads,Darkness - no lighting,Male,Employee,Owner,Unknown,Slight Injury
18-30,1-2yr,Morning,Junior high school,Unknown,Lorry,Normal,Asphalt roads,Daylight,Male,Employee,Owner,No defect,Slight Injury
Under 18,5-10yr,Morning,Junior high school,Above 10yr,Public_transport,Normal,Asphalt roads,Daylight,Male,Employee,Owner,No defect,Slight Injury
31-50,5-10yr,Evening,Junior high school,Unknown,Lorry,Normal,Asphalt roads,Darkness - lights lit,Male,Employee,Owner,No defect,Serious Injury
18-30,5-10yr,Morning,Above high school,Unknown,Public_transport,Cloudy,Gravel roads,Darkness - lights lit,Male,Employee,Owner,No defect,Slight Injury
Unknown,2-5yr,Evening,Elementary school,1-2yr,Other,Normal,Asphalt roads,Darkness - lights lit,Female,Employee,Owner,No defect,Slight Injury
Over 51,Unknown,Evening,Unknown,Unknown,Unknown,Cloudy,Other,Darkness - lights lit,Male,Unknown,Unknown,Unknown,Slight Injury
18-30,Unknown,Evening,Junior high school,Unknown,Lorry,Cloudy,Asphalt roads,Darkness - lights lit,Male,Employee,Owner,No defect,Slight Injury
31-50,5-10yr,Evening,Above high school,Above 10yr,Automobile,Normal,Asphalt roads,Darkness - lights lit,Male,Owner,Owner,No defect,Slight Injury
Over 51,2-5yr,Morning,Junior high school,Unknown,Lorry,Normal,Asphalt roads,Daylight,Male,Employee,Owner,No defect,Serious Injury
31-50,5-10yr,Morning,Junior high school,2-5yrs,Pickup,Normal,Asphalt roads,Daylight,Male,Owner,Owner,Unknown,Serious Injury
18-30,2-5yr,Morning,High school,Unknown,Automobile,Normal,Asphalt roads,Daylight,Male,Employee,Owner,No defect,Slight Injury
18-30,Above 10yr,Afternoon,Junior high school,Unknown,Unknown,Normal,Asphalt roads,Daylight,Male,Employee,Owner,No defect,Serious Injury
18-30,Below 1yr,Afternoon,Junior high school,Unknown,Other,Normal,Asphalt roads,Daylight,Male,Employee,Governmental,Unknown,Serious Injury
31-50,Below 1yr,Morning,Junior high school,1-2yr,Automobile,Normal,Asphalt roads,Daylight,Male,Employee,Owner,No defect,Slight Injury
Over 51,Unknown,Morning,Unknown,Unknown,Automobile,Normal,Asphalt roads,Daylight,Male,Owner,Owner,No defect,Slight Injury
Over 51,2-5yr,Afternoon,Junior high school,2-5yrs,Other,Raining,Asphalt roads,Darkness - no lighting,Male,Employee,Owner,No defect,Slight Injury
31-50,Unknown,Afternoon,Unknown,Unknown,Unknown,Raining,Asphalt roads,Darkness - no lighting,Male,Unknown,Unknown,Unknown,Slight Injury
31-50,No Licence,Afternoon,Elementary school,Unknown,Other,Normal,Gravel roads,Daylight,Male,Employee,Owner,Unknown,Slight Injury
31-50,Above 10yr,Afternoon,Junior high school,Above 10yr,Unknown,Normal,Asphalt roads,Daylight,Male,Employee,Owner,Unknown,Slight Injury
18-30,Above 10yr,Evening,Junior high school,Unknown,Other,Raining,Asphalt roads,Darkness - lights lit,Male,Owner,Owner,No defect,Slight Injury
31-50,Above 10yr,Evening,Junior high school,Above 10yr,Lorry,Raining,Asphalt roads,Darkness - lights lit,Male,Employee,Owner,No defect,Slight Injury
31-50,5-10yr,Evening,Junior high school,Above 10yr,Lorry,Raining,Asphalt roads,Darkness - lights lit,Male,Owner,Owner,No defect,Slight Injury
31-50,Below 1yr,Evening,Junior high school,Unknown,Automobile,Raining,Other,Darkness - lights lit,Male,Employee,Governmental,No defect,Slight Injury
31-50,2-5yr,Evening,Junior high school,2-5yrs,Lorry,Raining,Asphalt roads,Darkness - lights lit,Male,Employee,Organization,Unknown,Slight Injury
31-50,Unknown,Evening,Junior high school,5-10yrs,Automobile,Raining,Asphalt roads,Darkness - lights lit,Male,Employee,Owner,No defect,Slight Injury
18-30,1-2yr,Morning,Above high school,1-2yr,Automobile,Normal,Asphalt roads,Daylight,Male,Employee,Owner,Unknown,Slight Injury
18-30,1-2yr,Morning,Junior high school,Unknown,Pickup,Normal,Asphalt roads,Daylight,Male,Employee,Owner,No defect,Slight Injury
18-30,1-2yr,Afternoon,Junior high school,Unknown,Taxi,Other,Asphalt roads,Daylight,Male,Employee,Owner,No defect,Slight Injury
18-30,Above 10yr,Afternoon,Junior high school,Unknown,Unknown,Other,Asphalt roads,Darkness - lights lit,Male,Employee,Owner,Unknown,Slight Injury
18-30,5-10yr,Morning,Junior high school,5-10yrs,Lorry,Normal,Asphalt roads,Daylight,Male,Employee,Owner,No defect,Slight Injury
31-50,2-5yr,Morning,Junior high school,2-5yrs,Public_transport,Normal,Asphalt roads,Daylight,Male,Employee,Owner,No defect,Slight Injury
31-50,Below 1yr,Afternoon,Junior high school,2-5yrs,Pickup,Normal,Asphalt roads,Daylight,Male,Employee,Governmental,Unknown,Slight Injury
18-30,5-10yr,Evening,Junior high school,Unknown,Other,Normal,Asphalt roads,Darkness - lights lit,Male,Employee,Owner,No defect,Slight Injury
31-50,5-10yr,Evening,Elementary school,Unknown,Automobile,Normal,Asphalt roads,Darkness - lights lit,Male,Employee,Owner,No defect,Slight Injury
18-30,5-10yr,Afternoon,Junior high school,Unknown,Lorry,Fog or mist,Asphalt roads,Darkness - lights lit,Male,Employee,Owner,No defect,Slight Injury
18-30,Below 1yr,Morning,High school,Above 10yr,Public_transport,Raining,Asphalt roads,Daylight,Male,Employee,Owner,No defect,Slight Injury
31-50,2-5yr,Evening,Junior high school,Below 1yr,Automobile,Normal,Asphalt roads,Darkness - lights lit,Male,Employee,Owner,Unknown,Slight Injury
18-30,5-10yr,Morning,Unknown,2-5yrs,Other,Normal,Asphalt roads,Daylight,Male,Employee,Owner,Unknown,Slight Injury
18-30,2-5yr,Morning,High school,2-5yrs,Public_transport,Normal,Asphalt roads,Daylight,Male,Owner,Owner,Unknown,Slight Injury
18-30,Above 10yr,Morning,High school,2-5yrs,Automobile,Normal,Asphalt roads,Daylight,Male,Employee,Owner,No defect,Slight Injury
31-50,1-2yr,Morning,Junior high school,Below 1yr,Automobile,Normal,Asphalt roads,Daylight,Male,Employee,Owner,No defect,Slight Injury
Over 51,1-2yr,Morning,Elementary school,2-5yrs,Automobile,Normal,Asphalt roads,Daylight,Male,Employee,Owner,Unknown,Slight Injury
Under 18,1-2yr,Night,High school,Unknown,Automobile,Normal,Asphalt roads,Darkness - lights lit,Male,Employee,Owner,Unknown,Slight Injury
18-30,5-10yr,Night,Above high school,Unknown,Automobile,Normal,Asphalt roads,Darkness - lights lit,Male,Employee,Owner,Unknown,Slight Injury
31-50,Unknown,Morning,Unknown,Unknown,Unknown,Normal,Asphalt roads,Daylight,Male,Unknown,Unknown,Unknown,Slight Injury
18-30,5-10yr,Morning,Elementary school,Above 10yr,Pickup,Normal,Asphalt roads,Daylight,Male,Owner,Owner,No defect,Slight Injury
31-50,5-10yr,Morning,Elementary school,Above 10yr,Other,Normal,Earth roads,Daylight,Male,Employee,Unknown,No defect,Slight Injury
31-50,5-10yr,Morning,High school,Unknown,Pickup,Normal,Asphalt roads,Daylight,Male,Owner,Owner,No defect,Slight Injury
Over 51,5-10yr,Morning,Junior high school,2-5yrs,Other,Normal,Asphalt roads,Darkness - lights lit,Male,Employee,Owner,No defect,Slight Injury
31-50,1-2yr,Morning,Junior high school,Unknown,Automobile,Normal,Asphalt roads,Darkness - lights lit,Male,Owner,Owner,Unknown,Slight Injury
Over 51,5-10yr,Evening,Junior high school,2-5yrs,Lorry,Normal,Asphalt roads,Darkness - lights lit,Male,Owner,Owner,No defect,Slight Injury
18-30,Above 10yr,Evening,Junior high school,Unknown,Lorry,Normal,Asphalt roads,Darkness - lights lit,Male,Owner,Owner,Unknown,Slight Injury
Over 51,5-10yr,Morning,Junior high school,Unknown,Pickup,Normal,Asphalt roads,Daylight,Male,Employee,Owner,Unknown,Slight Injury
Under 18,2-5yr,Afternoon,Elementary school,5-10yrs,Pickup,Normal,Asphalt roads,Daylight,Male,Employee,Owner,Unknown,Slight Injury
31-50,5-10yr,Afternoon,Elementary school,Unknown,Lorry,Normal,Asphalt roads,Daylight,Male,Employee,Owner,Unknown,Slight Injury
Under 18,1-2yr,Afternoon,Junior high school,Unknown,Public_transport,Other,Asphalt roads,Daylight,Male,Employee,Owner,Unknown,Slight Injury
18-30,5-10yr,Afternoon,Junior high school,Unknown,Other,Other,Asphalt roads,Daylight,Male,Employee,Owner,Unknown,Slight Injury
31-50,Unknown,Morning,Unknown,Unknown,Automobile,Normal,Asphalt roads,Daylight,Male,Unknown,Owner,Unknown,Serious Injury
Over 51,Above 10yr,Afternoon,Elementary school,5-10yrs,Automobile,Normal,Asphalt roads,Daylight,Male,Employee,Owner,Unknown,Serious Injury
Unknown,Below 1yr,Evening,Elementary school,Unknown,Automobile,Normal,Asphalt roads,Darkness - lights lit,Male,Employee,Owner,Unknown,Slight Injury
Unknown,2-5yr,Morning,Junior high school,2-5yrs,Lorry,Normal,Asphalt roads,Daylight,Male,Employee,Owner,No defect,Slight Injury
18-30,1-2yr,Evening,Elementary school,2-5yrs,Automobile,Raining,Asphalt roads,Darkness - lights lit,Male,Owner,Owner,No defect,Slight Injury
Unknown,5-10yr,Morning,Junior high school,Above 10yr,Lorry,Normal,Asphalt roads,Daylight,Male,Owner,Owner,No defect,Slight Injury
31-50,2-5yr,Morning,Junior high school,Unknown,Public_transport,Raining,Asphalt roads,Daylight,Male,Employee,Owner,No defect,Serious Injury
Unknown,2-5yr,Morning,Junior high school,Above 10yr,Automobile,Raining,Asphalt roads,Daylight,Male,Employee,Owner,No defect,Serious Injury
31-50,Above 10yr,Morning,Junior high school,Unknown,Automobile,Normal,Asphalt roads,Daylight,Male,Employee,Owner,No defect,Slight Injury
31-50,1-2yr,Morning,Junior high school,Unknown,Lorry,Other,Earth roads,Daylight,Male,Employee,Owner,No defect,Slight Injury
Over 51,2-5yr,Afternoon,Junior high school,Unknown,Lorry,Normal,Asphalt roads,Daylight,Male,Employee,Owner,Unknown,Slight Injury
31-50,5-10yr,Afternoon,Junior high school,Unknown,Automobile,Normal,Asphalt roads,Daylight,Male,Employee,Owner,No defect,Slight Injury
31-50,1-2yr,Morning,Junior high school,1-2yr,Automobile,Normal,Other,Daylight,Male,Employee,Owner,No defect,Slight Injury
Over 51,1-2yr,Morning,Elementary school,Above 10yr,Public_transport,Normal,Asphalt roads,Daylight,Male,Employee,Owner,No defect,Slight Injury
31-50,Above 10yr,Afternoon,Junior high school,2-5yrs,Automobile,Other,Asphalt roads,Daylight,Male,Employee,Organization,Unknown,Slight Injury
Unknown,Above 10yr,Evening,Junior high school,5-10yrs,Public_transport,Raining,Asphalt roads,Darkness - lights lit,Female,Employee,Owner,Unknown,Slight Injury
31-50,5-10yr,Morning,Elementary school,5-10yrs,Lorry,Normal,Asphalt roads,Daylight,Male,Owner,Owner,No defect,Slight Injury
31-50,Above 10yr,Morning,Elementary school,2-5yrs,Automobile,Normal,Asphalt roads,Daylight,Male,Employee,Owner,No defect,Slight Injury
18-30,1-2yr,Evening,Junior high school,Unknown,Lorry,Normal,Asphalt roads,Darkness - lights lit,Male,Employee,Owner,No defect,Slight Injury
31-50,2-5yr,Morning,Elementary school,Unknown,Automobile,Normal,Asphalt roads,Daylight,Male,Employee,Owner,Unknown,Slight Injury
31-50,Unknown,Afternoon,Unknown,Unknown,Unknown,Normal,Asphalt roads,Darkness - lights lit,Male,Unknown,Unknown,Unknown,Slight Injury
31-50,Unknown,Afternoon,Unknown,Unknown,Unknown,Normal,Asphalt roads,Daylight,Male,Unknown,Owner,Unknown,Slight Injury
31-50,1-2yr,Afternoon,High school,Unknown,Automobile,Normal,Asphalt roads,Daylight,Male,Owner,Owner,Unknown,Slight Injury
18-30,1-2yr,Night,Junior high school,Unknown,Automobile,Normal,Asphalt roads,Darkness - lights lit,Male,Employee,Owner,No defect,Slight Injury
31-50,1-2yr,Night,Junior high school,5-10yrs,Automobile,Normal,Asphalt roads,Darkness - lights lit,Male,Employee,Governmental,Unknown,Slight Injury
Unknown,Above 10yr,Afternoon,Junior high school,Unknown,Other,Normal,Asphalt roads,Darkness - lights lit,Male,Employee,Owner,No defect,Slight Injury
31-50,1-2yr,Afternoon,Junior high school,Unknown,Other,Normal,Asphalt roads,Daylight,Male,Employee,Owner,No defect,Slight Injury
18-30,Above 10yr,Afternoon,High school,Above 10yr,Automobile,Normal,Asphalt roads,Daylight,Male,Owner,Owner,No defect,Slight Injury
31-50,Above 10yr,Evening,Junior high school,5-10yrs,Lorry,Raining,Asphalt roads,Darkness - lights lit,Male,Employee,Owner,Unknown,Serious Injury
Unknown,1-2yr,Afternoon,Junior high school,Unknown,Lorry,Normal,Gravel roads,Darkness - lights lit,Male,Employee,Owner,Unknown,Slight Injury
Unknown,2-5yr,Afternoon,High school,5-10yrs,Automobile,Normal,Asphalt roads,Daylight,Male,Employee,Organization,No defect,Slight Injury
18-30,1-2yr,Morning,Junior high school,Unknown,Public_transport,Raining,Asphalt roads,Daylight,Male,Employee,Owner,No defect,Slight Injury
31-50,5-10yr,Night,Junior high school,5-10yrs,Lorry,Normal,Asphalt roads,Darkness - lights lit,Male,Employee,Owner,No defect,Slight Injury
31-50,1-2yr,Evening,Junior high school,Unknown,Lorry,Normal,Asphalt roads,Darkness - lights lit,Male,Employee,Owner,No defect,Slight Injury
Unknown,5-10yr,Afternoon,Elementary school,Unknown,Public_transport,Normal,Asphalt roads,Darkness - lights lit,Female,Other,Owner,No defect,Slight Injury
31-50,2-5yr,Morning,Junior high school,Unknown,Other,Normal,Asphalt roads,Daylight,Male,Employee,Owner,No defect,Slight Injury
31-50,5-10yr,Afternoon,Elementary school,Unknown,Lorry,Normal,Asphalt roads,Daylight,Male,Employee,Owner,No defect,Slight Injury
Over 51,Above 10yr,Afternoon,Junior high school,Unknown,Automobile,Normal,Asphalt roads,Daylight,Male,Employee,Owner,No defect,Slight Injury
18-30,2-5yr,Night,Elementary school,2-5yrs,Motorcycle,Normal,Asphalt roads,Darkness - lights lit,Male,Owner,Owner,No defect,Slight Injury
Over 51,5-10yr,Night,Elementary school,Unknown,Automobile,Normal,Asphalt roads,Darkness - lights lit,Male,Employee,Owner,Unknown,Slight Injury
31-50,1-2yr,Afternoon,Junior high school,2-5yrs,Automobile,Normal,Asphalt roads,Daylight,Male,Owner,Owner,Unknown,Slight Injury
31-50,Above 10yr,Evening,Elementary school,Above 10yr,Lorry,Normal,Asphalt roads,Darkness - lights lit,Male,Employee,Owner,No defect,Slight Injury
31-50,Above 10yr,Afternoon,Elementary school,2-5yrs,Lorry,Raining,Asphalt roads,Daylight,Male,Employee,Owner,No defect,Slight Injury
31-50,2-5yr,Afternoon,Junior high school,2-5yrs,Public_transport,Normal,Gravel roads,Daylight,Male,Employee,Owner,No defect,Slight Injury
Unknown,Above 10yr,Afternoon,Elementary school,2-5yrs,Lorry,Normal,Asphalt roads,Daylight,Male,Employee,Owner,No defect,Slight Injury
18-30,Above 10yr,Afternoon,Junior high school,1-2yr,Lorry,Normal,Asphalt roads,Daylight,Male,Employee,Owner,No defect,Slight Injury
18-30,2-5yr,Afternoon,Junior high school,Unknown,Lorry,Normal,Asphalt roads,Daylight,Male,Employee,Owner,No defect,Slight Injury
18-30,Above 10yr,Afternoon,Junior high school,Unknown,Public_transport,Normal,Asphalt roads,Daylight,Male,Employee,Owner,No defect,Slight Injury
31-50,Above 10yr,Afternoon,Junior high school,Unknown,Public_transport,Normal,Asphalt roads,Daylight,Male,Employee,Owner,No defect,Slight Injury
Over 51,Below 1yr,Morning,Junior high school,Above 10yr,Automobile,Normal,Asphalt roads,Daylight,Male,Employee,Owner,Unknown,Slight Injury
Over 51,Above 10yr,Morning,Junior high school,Unknown,Lorry,Normal,Asphalt roads,Daylight,Male,Owner,Owner,No defect,Slight Injury
31-50,Above 10yr,Afternoon,High school,Unknown,Automobile,Normal,Asphalt roads,Daylight,Male,Other,Owner,Unknown,Slight Injury
Unknown,5-10yr,Afternoon,Junior high school,2-5yrs,Pickup,Normal,Asphalt roads,Daylight,Male,Employee,Owner,No defect,Slight Injury
Unknown,Unknown,Evening,Elementary school,Unknown,Automobile,Normal,Asphalt roads,Darkness - lights lit,Female,Unknown,Unknown,Unknown,Serious Injury
31-50,5-10yr,Afternoon,Junior high school,Unknown,Public_transport,Normal,Asphalt roads,Daylight,Male,Employee,Owner,Unknown,Slight Injury
31-50,5-10yr,Afternoon,Junior high school,5-10yrs,Public_transport,Normal,Asphalt roads,Daylight,Male,Employee,Governmental,No defect,Slight Injury
18-30,Below 1yr,Evening,Junior high school,2-5yrs,Automobile,Normal,Asphalt roads,Darkness - lights lit,Male,Owner,Owner,Unknown,Slight Injury
31-50,5-10yr,Evening,Junior high school,Unknown,Unknown,Normal,Asphalt roads,Darkness - lights lit,Male,Employee,Owner,No defect,Slight Injury
Under 18,2-5yr,Morning,Junior high school,Unknown,Public_transport,Normal,Asphalt roads,Daylight,Male,Owner,Owner,No defect,Slight Injury
Under 18,Above 10yr,Evening,Junior high school,5-10yrs,Lorry,Normal,Asphalt roads,Darkness - lights lit,Unknown,Employee,Owner,No defect,Slight Injury
Unknown,2-5yr,Evening,Junior high school,2-5yrs,Other,Normal,Asphalt roads,Darkness - lights lit,Female,Employee,Owner,No defect,Slight Injury
18-30,1-2yr,Morning,Junior high school,1-2yr,Automobile,Raining,Asphalt roads,Daylight,Male,Employee,Owner,No defect,Slight Injury
31-50,2-5yr,Morning,Junior high school,2-5yrs,Automobile,Raining,Asphalt roads,Daylight,Male,Employee,Organization,No defect,Slight Injury
Unknown,1-2yr,Afternoon,Junior high school,1-2yr,Public_transport,Normal,Asphalt roads,Daylight,Male,Employee,Governmental,Unknown,Slight Injury
18-30,5-10yr,Afternoon,Junior high school,Unknown,Other,Normal,Asphalt roads,Daylight,Male,Employee,Owner,No defect,Slight Injury
Over 51,5-10yr,Morning,Junior high school,2-5yrs,Lorry,Normal,Asphalt roads,Daylight,Male,Employee,Owner,No defect,Slight Injury
Over 51,Unknown,Evening,Unknown,Unknown,Unknown,Normal,Asphalt roads,Darkness - lights lit,Male,Unknown,Unknown,Unknown,Slight Injury
Unknown,1-2yr,Morning,High school,Above 10yr,Pickup,Normal,Asphalt roads,Daylight,Male,Employee,Owner,Unknown,Serious Injury
31-50,5-10yr,Evening,Junior high school,Unknown,Public_transport,Normal,Asphalt roads,Darkness - lights lit,Male,Owner,Owner,Unknown,Slight Injury
31-50,1-2yr,Evening,Junior high school,Unknown,Lorry,Normal,Asphalt roads,Darkness - lights lit,Male,Employee,Owner,No defect,Slight Injury
18-30,Above 10yr,Afternoon,Junior high school,Above 10yr,Lorry,Normal,Asphalt roads,Daylight,Male,Employee,Owner,No defect,Slight Injury
31-50,Below 1yr,Afternoon,Junior high school,Unknown,Lorry,Normal,Asphalt roads,Daylight,Male,Employee,Owner,No defect,Slight Injury
18-30,5-10yr,Morning,Junior high school,Unknown,Lorry,Normal,Asphalt roads,Daylight,Male,Employee,Owner,No defect,Slight Injury
